N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;OPERADOR
1;Juan Pablo II;-27,25156 ;-65,63062 ;Arena;Tucuman;Producción;Nacul Jorge Pablo
2;Papa Fco;-27,27566 ;-65,58597 ;Arena;Tucuman;Producción;Nacul Jorge Pablo
3;Aridos del Sali;-26,78038 ;-65,15973 ;Arena;Tucuman;Producción;Aridos del Sali
4;Coop. Trab. Alderetes;-26,75303 ;-65,14954 ;Arena;Tucuman;Producción;Coop. Trab. Alderetes
5;Los Porceles;-26,93632 ;-65,21565 ;Arena;Tucuman;Producción;Cuevas Juan José
6;San Andrés;-26,89531 ;-65,20611 ;Arena;Tucuman;Producción;Cuevas Juan José
7;Galindo Const.;-26,69531 ;-65,07574 ;Arena;Tucuman;Producción;Galindo Constr. S.R.L.
8;Munic. Monteros;-27,12946 ;-65,51311 ;Arena;Tucuman;Producción;Munic. Monteros
9;La Chimbera;-26,96399 ;-65,38311 ;Arena;Tucuman;Producción;Vicente Ariel Avila
10;Helpa;-26,73177 ;-65,11862 ;Arena;Tucuman;Producción;Helpa S.A.
11;Munic. Las Talitas;-26,76532 ;-65,16391 ;Arena;Tucuman;Producción;Munic. Las Talitas
12;Lules Norte;-26,91373 ;-65,33716 ;Arena;Tucuman;Producción;Munic. Lules
13;La Bolsa;-26,91939 ;-65,30303 ;Arena;Tucuman;Producción;Munic. Lules
14;San Rafael;-26,95806 ;-65,38976 ;Arena;Tucuman;Producción;Munic. Lules
15;Gael;-27,63859 ;-65,65443 ;Arena;Tucuman;Producción;Angelino Arroyo
16;Canseco;-26,62011 ;-65,37416 ;Arena;Tucuman;Producción;Canseco Oscar
17;Elias DG - Zerda;-27,11159 ;-65,52974 ;Arena;Tucuman;Producción;Elias Daniel Gustavo
18;Elias MD - Mandolo;-27,17271 ;-65,58724 ;Arena;Tucuman;Producción;Elias Mario Dante
19;Elias MD - Romano;-27,14958 ;-65,49582 ;Arena;Tucuman;Producción;Elias Mario Dante
20;González ME - Las Tipas;-26,23860 ;-65,50549 ;Arena;Tucuman;Producción;González, Ma. Carmen
21;El Bollero;-26,24310 ;-65,25034 ;Arena;Tucuman;Producción;González, Ma. Carmen
22;La Bolsa;-26,91603 ;-65,32342 ;Arena;Tucuman;Producción;Tradeco S.R.L
23;La Blanquita;-26,74295 ;-65,12919 ;Arena;Tucuman;Producción;Fernando L. López
24;La Granja - La Aguadita;-26,74205 ;-65,15693 ;Arena;Tucuman;Producción;Tradeco S.R.L
25;El Arenal;-26,96659 ;-65,22619 ;Arena;Tucuman;Producción;El Arenal S.H.
26;Limbadi;-26,68775 ;-65,17660 ;Arena;Tucuman;Producción;Limbadi S.R.L.
27;Limbadi;-26,55404 ;-65,25407 ;Arena;Tucuman;Producción;Limbadi S.R.L.
28;Hernandez;-27,26445 ;-65,60661 ;Arena;Tucuman;Producción;Hernández Francisco
29;Hernandez;-27,31467 ;-65,68843 ;Arena;Tucuman;Producción;Hernández Francisco
30;SD Final Overo Pozo;-26,83044 ;-64,86928 ;Arena;Tucuman;Producción;Perfiltra S.A.
31;Rojano;-27,26691 ;-65,58953 ;Arena;Tucuman;Producción;Rojano Miguel Angel e Hijos SRL
32;Rojano;-27,32836 ;-65,62123 ;Arena;Tucuman;Producción;Rojano Miguel Angel e Hijos SRL
33;Rojano;-27,36386 ;-65,83412 ;Arena;Tucuman;Producción;Rojano Miguel Angel e Hijos SRL
34;CCL - Lules;-26,92034 ;-65,31313 ;Arena;Tucuman;Producción;CCL SRL
