"ANYO","PROVINCIA","USD_FOB"
1994,"Indeterminado",65.687949
1995,"Indeterminado",113.519065
1996,"Indeterminado",132.000335
1997,"Indeterminado",199.455727
1998,"Catamarca",453.42862889
1998,"Salta",49.05547899
1998,"Buenos Aires",23.55456513
1998,"Mendoza",22.73884546
1998,"Santa Cruz",13.00175172
1998,"Jujuy",12.52523795
1998,"Indeterminado",11.28840175
1998,"San Juan",10.39607292
1998,"Santa Fe",7.51620125
1998,"Chubut",7.48478993
1998,"San Luis",3.55123001
1998,"Cordoba",1.72377206
1998,"Capital Federal",1.5853476
1998,"Rio Negro",1.41202178
1998,"Entre Rios",0.6349094
1998,"La Pampa",0.4824099
1998,"Tucuman",0.47090083
1998,"Neuquen",0.3094557
1998,"Tierra Del Fuego",0.01407
1998,"La Rioja",0.00168
1999,"Catamarca",530.48598377
1999,"Santa Cruz",92.7540372
1999,"Salta",41.00975942
1999,"Buenos Aires",33.95636342
1999,"Santa Fe",9.17507887
1999,"San Juan",8.39772076
1999,"Jujuy",8.13601743
1999,"Mendoza",7.62536866
1999,"Chubut",7.00969561
1999,"Cordoba",4.53845878
1999,"Indeterminado",4.05670031
1999,"Rio Negro",3.85697683
1999,"San Luis",3.35147307
1999,"Entre Rios",0.66045855
1999,"La Pampa",0.6581582
1999,"Capital Federal",0.50069884
1999,"Tucuman",0.47952407
1999,"Neuquen",0.10101186
1999,"Misiones",0.032557
1999,"Santiago Del Estero",0.0041
1999,"Tierra Del Fuego",0.003468
1999,"Chaco",0.0000405
2000,"Catamarca",439.49191352
2000,"Santa Cruz",89.12319785
2000,"Salta",48.88449068
2000,"Buenos Aires",47.23746749
2000,"Jujuy",15.35798051
2000,"Santa Fe",11.86928955
2000,"San Juan",7.51181432
2000,"Chubut",7.43743976
2000,"Mendoza",6.1202161
2000,"Rio Negro",3.97410376
2000,"Indeterminado",3.34213892
2000,"San Luis",2.53107434
2000,"Cordoba",2.49593021
2000,"La Pampa",1.39872618
2000,"Entre Rios",0.53793172
2000,"Neuquen",0.46804647
2000,"Tucuman",0.1435093
2000,"Capital Federal",0.09338507
2000,"Misiones",0.048196
2000,"La Rioja",0.0294718
2000,"Tierra Del Fuego",0.0007
2000,"Formosa",0.00040495
2001,"Catamarca",515.50664236
2001,"Santa Cruz",101.85740562
2001,"Buenos Aires",48.96834393
2001,"Salta",42.15078911
2001,"Jujuy",13.92405401
2001,"Santa Fe",8.68699381
2001,"Chubut",7.59543997
2001,"San Juan",7.0922789
2001,"Mendoza",6.41579049
2001,"Rio Negro",2.69886489
2001,"Indeterminado",2.67130833
2001,"San Luis",2.54959098
2001,"La Pampa",1.47264066
2001,"Cordoba",1.20414127
2001,"Neuquen",0.76955867
2001,"Entre Rios",0.47648584
2001,"Tucuman",0.14432304
2001,"Chaco",0.02946834
2001,"Misiones",0.025039
2001,"Capital Federal",0.0194053
2001,"La Rioja",0.0086952
2001,"Santiago Del Estero",0.007854
